season,date,home,away,market,label,direction,line,actual,won,blended_hit_rate,n_total
1920,2019-08-31,Southampton,Man United,home_goals,Southampton to score,OVER,0.5,1.0,True,85.0,20
1920,2019-08-31,Southampton,Man United,away_goals,Man United to score,OVER,0.5,1.0,True,80.0,20
1920,2019-08-31,Southampton,Man United,home_corners,Southampton corners,OVER,3.5,2.0,False,75.0,20
1920,2019-08-31,Southampton,Man United,away_corners,Man United corners,UNDER,7.5,3.0,True,75.0,20
1920,2019-08-31,Southampton,Man United,home_sot,Southampton shots on target,UNDER,4.5,2.0,True,75.0,20
1920,2019-08-31,Southampton,Man United,away_sot,Man United shots on target,UNDER,5.5,8.0,False,75.0,20
1920,2019-08-31,Southampton,Man United,match_cards,Total match cards,OVER,1.5,4.0,True,90.0,20
1920,2019-08-31,Chelsea,Sheffield United,home_goals,Chelsea to score,UNDER,2.5,2.0,True,85.0,20
1920,2019-08-31,Chelsea,Sheffield United,away_goals,Sheffield United to score,UNDER,2.5,2.0,True,90.0,20
1920,2019-08-31,Chelsea,Sheffield United,home_corners,Chelsea corners,UNDER,7.5,3.0,True,90.0,20
1920,2019-08-31,Chelsea,Sheffield United,away_corners,Sheffield United corners,OVER,3.5,4.0,True,80.0,20
1920,2019-08-31,Chelsea,Sheffield United,home_sot,Chelsea shots on target,OVER,2.5,5.0,True,80.0,20
1920,2019-08-31,Chelsea,Sheffield United,away_sot,Sheffield United shots on target,UNDER,5.5,2.0,True,90.0,20
1920,2019-08-31,Chelsea,Sheffield United,match_cards,Total match cards,UNDER,4.5,1.0,True,85.0,20
1920,2019-08-31,Crystal Palace,Aston Villa,home_goals,Crystal Palace to score,UNDER,2.5,1.0,True,80.0,20
1920,2019-08-31,Crystal Palace,Aston Villa,away_goals,Aston Villa to score,OVER,0.5,0.0,False,85.0,20
1920,2019-08-31,Crystal Palace,Aston Villa,home_corners,Crystal Palace corners,UNDER,6.5,13.0,False,80.0,20
1920,2019-08-31,Crystal Palace,Aston Villa,home_sot,Crystal Palace shots on target,UNDER,5.5,5.0,True,75.0,20
1920,2019-08-31,Crystal Palace,Aston Villa,match_cards,Total match cards,UNDER,5.5,7.0,False,85.0,20
1920,2019-08-31,Newcastle,Watford,home_goals,Newcastle to score,OVER,0.5,1.0,True,85.0,20
1920,2019-08-31,Newcastle,Watford,away_goals,Watford to score,UNDER,1.5,1.0,True,75.0,20
1920,2019-08-31,Newcastle,Watford,home_corners,Newcastle corners,UNDER,5.5,6.0,False,80.0,20
1920,2019-08-31,Newcastle,Watford,away_corners,Watford corners,OVER,3.5,5.0,True,75.0,20
1920,2019-08-31,Newcastle,Watford,home_sot,Newcastle shots on target,OVER,2.5,5.0,True,80.0,20
1920,2019-08-31,Newcastle,Watford,away_sot,Watford shots on target,UNDER,4.5,3.0,True,75.0,20
1920,2019-08-31,Newcastle,Watford,match_cards,Total match cards,OVER,1.5,5.0,True,85.0,20
1920,2019-08-31,Burnley,Liverpool,home_goals,Burnley to score,UNDER,2.5,0.0,True,90.0,20
1920,2019-08-31,Burnley,Liverpool,away_goals,Liverpool to score,OVER,0.5,3.0,True,85.0,20
1920,2019-08-31,Burnley,Liverpool,home_corners,Burnley corners,UNDER,5.5,6.0,False,80.0,20
1920,2019-08-31,Burnley,Liverpool,home_sot,Burnley shots on target,UNDER,4.5,2.0,True,75.0,20
1920,2019-08-31,Burnley,Liverpool,away_sot,Liverpool shots on target,OVER,2.5,7.0,True,80.0,20
1920,2019-08-31,Burnley,Liverpool,match_cards,Total match cards,UNDER,3.5,0.0,True,80.0,20
1920,2019-08-31,Leicester,Bournemouth,away_goals,Bournemouth to score,UNDER,1.5,1.0,True,75.0,20
1920,2019-08-31,Leicester,Bournemouth,home_corners,Leicester corners,OVER,3.5,4.0,True,90.0,20
1920,2019-08-31,Leicester,Bournemouth,away_corners,Bournemouth corners,UNDER,6.5,5.0,True,80.0,20
1920,2019-08-31,Leicester,Bournemouth,home_sot,Leicester shots on target,OVER,2.5,5.0,True,80.0,20
1920,2019-08-31,Leicester,Bournemouth,away_sot,Bournemouth shots on target,UNDER,5.5,2.0,True,80.0,20
1920,2019-08-31,Leicester,Bournemouth,match_cards,Total match cards,UNDER,5.5,4.0,True,90.0,20
1920,2019-08-31,West Ham,Norwich,home_goals,West Ham to score,OVER,0.5,2.0,True,80.0,20
1920,2019-08-31,West Ham,Norwich,away_goals,Norwich to score,OVER,0.5,0.0,False,90.0,20
1920,2019-08-31,West Ham,Norwich,home_corners,West Ham corners,UNDER,7.5,8.0,False,80.0,20
1920,2019-08-31,West Ham,Norwich,away_corners,Norwich corners,OVER,4.5,2.0,False,75.0,20
1920,2019-08-31,West Ham,Norwich,home_sot,West Ham shots on target,OVER,2.5,8.0,True,80.0,20
1920,2019-08-31,West Ham,Norwich,away_sot,Norwich shots on target,OVER,3.5,3.0,False,90.0,20
